"VRM","Make","Model","Licence No","Compliance Date","Compliance Expiry"
"GJ65 AXS","Skoda","Octavia","21/00809/PHVMAX","04/02/2020","03/02/2021"
"GJ65 KUD","Skoda","Octavia","20/02261/HCV","17/11/2020","16/11/2021"
"GJ67 KWA","Skoda","Octavia","21/00017/PHV","20/08/2020","19/08/2021"
"GJ68 JHX","Skoda","Octavia","21/00541/PHV","07/09/2020","06/09/2021"
"GK15 NFC","Skoda","Superb","21/00574/PHVMAX","22/01/2021","21/01/2022"
"GK17 BZS","Skoda","Octavia","20/02145/HCV","15/12/2020","14/12/2021"
"GK17 CCU","Skoda","Octavia","21/01130/PHV","17/02/2021","16/02/2022"
"GK66 XUW","Skoda","Rapid","21/00533/PHV","30/07/2020","29/07/2021"
"GK68 CPX","Skoda","Octavia","21/00045/PHV","14/09/2020","13/09/2021"
"GK69 YCZ","Skoda","Octavia","21/00540/PHV","14/08/2020","13/08/2021"
"GL14 WCG","Skoda","Octavia","20/02252/HCVMAX","19/11/2020","18/11/2021"
"GL14 ZDV","Skoda","Octavia","21/00820/PHVMAX","01/02/2021","21/07/2021"
"GL15 EZK","Skoda","Octavia","21/00497/PHVMAX","07/08/2020","06/08/2021"
"GL16 CXV","Skoda","Octavia","21/00337/PHV","23/09/2020","22/09/2021"
"GL16 CYG","Skoda","Octavia","20/02133/HCV","12/08/2020","11/08/2021"
"GL16 DFN","Skoda","Octavia","20/02214/HCV","29/10/2020","28/10/2021"
"GL16 DLK","Skoda","Octavia","21/00651/HCV","17/02/2020","16/02/2021"
"GL16 EUR","Skoda","Octavia","20/02160/HCV","15/09/2020","14/09/2021"
"GL16 GZK","Skoda","Octavia","21/00268/PHV","28/07/2020","27/07/2021"
"GL16 MBF","Skoda","Octavia","20/02250/HCV","21/08/2020","20/08/2021"
"GL17 EDX","Skoda","Octavia","21/00241/PHV","02/09/2020","01/09/2021"
"GL17 HVA","Skoda","Octavia","20/02934/HCV","27/08/2020","26/08/2021"
"GL17 HVH","Skoda","Octavia","21/00875/PHV","02/11/2020","01/11/2021"
"GL17 LLZ","Skoda","Octavia","21/00843/PHV","24/07/2020","23/07/2021"
"GL18 WNC","Skoda","Octavia","21/01167/PHV","01/10/2020","30/09/2021"
"GL64 PXS","Skoda","Superb","20/02313/HCVMAX","11/03/2020","10/03/2021"
"GL66 HPU","Skoda","Octavia","21/00404/PHV","07/07/2020","06/07/2021"
"GL66 XSB","Skoda","Octavia","21/00510/PHV","14/09/2020","13/09/2021"
"GL66 XTT","Skoda","Octavia","21/00136/PHV","18/12/2020","17/12/2021"
"GL67 MFP","Skoda","Rapid","21/00527/PHV","27/08/2020","26/08/2021"
"GL67 UCO","Skoda","Rapid","21/00506/PHV","03/09/2020","02/09/2021"
"GM14 NYC","Skoda","Superb","21/01018/PHVMAX","21/09/2020","20/09/2021"
"GM15 CPE","Skoda","Octavia","21/00371/PHVMAX","20/08/2020","19/08/2021"
"GM16 HHO","Skoda","Octavia","20/02711/HCV","04/09/2020","03/09/2021"
"GM16 JKJ","Skoda","Octavia","21/00050/PHV","14/02/2020","13/02/2021"
"GM16 JPO","Skoda","Superb","21/00027/PHV","31/07/2020","30/07/2021"
"GM16 LPP","Skoda","Octavia","20/02464/HCV","19/08/2020","18/08/2021"
"GM16 YAV","Skoda","Octavia","21/00644/PHV","13/11/2020","12/11/2021"
"GM16 ZBR","Skoda","Octavia","21/00258/PHV","09/09/2020","08/09/2021"
"GM17 ZBO","Skoda","Octavia","21/00277/PHV","19/10/2020","18/10/2021"
"GM17 ZDE","Skoda","Octavia","21/00324/PHV","05/08/2020","04/08/2021"
"GM18 ONU","Skoda","Octavia","21/00507/PHV","18/09/2020","17/09/2021"
"GM18 SVR","Skoda","Rapid","21/00085/PHV","05/10/2020","04/10/2021"
"GM18 YGR","Skoda","Octavia","21/00730/PHV","29/09/2020","28/09/2021"
"GM19 CEA","Skoda","Octavia","21/00175/PHV","04/11/2020","03/11/2021"
"GM65 UPP","Skoda","Octavia","20/02350/HCV","18/01/2021","17/01/2022"
"GM65 UUC","Skoda","Octavia","20/02380/HCV","21/12/2020","20/12/2021"
"GM66 EEU","Skoda","Octavia","20/02155/HCV","27/07/2020","26/07/2021"
"GN66 MVU","Skoda","Octavia","20/02366/HCV","15/09/2020","14/09/2021"
"GU16 KXA","Skoda","Octavia","21/00777/PHV","28/09/2020","27/09/2021"
"GU63 YJD","Skoda","Octavia","21/00567/PHVMAX","25/01/2021","09/08/2021"
"GV16 AKU","Skoda","Octavia","21/00121/PHV","10/11/2020","09/11/2021"
"GV64 HSN","Skoda","Octavia","20/02165/HCVMAX","19/11/2020","18/11/2021"
"HD17 HHC","Skoda","Rapid","21/00209/PHV","10/03/2020","09/03/2021"
"HJ65 WCG","Skoda","Superb","21/00456/PHVMAX","24/08/2020","23/08/2021"
"HK11 EES","Skoda","Superb","21/00065/PHVMAX","28/01/2021","29/07/2021"
"HK11 GNP","Skoda","Octavia","21/00992/PHVMAX","13/01/2021","12/01/2022"
"HK15 FOM","Skoda","Superb","21/00974/PHVMAX","18/08/2020","17/08/2021"
"HK15 FOT","Skoda","Octavia","21/00049/PHVMAX","11/09/2020","10/09/2021"
"HK15 FPT","Skoda","Superb","21/00996/PHVMAX","06/08/2020","05/08/2021"
"HK15 FPU","Skoda","Superb","21/01250/PHVMAX","21/10/2020","20/10/2021"
"HK65 CZG","Skoda","Octavia","21/00890/PHVMAX","24/07/2020","23/07/2021"
"HK65 RFN","Skoda","Octavia","21/00857/PHVMAX","10/09/2020","09/09/2021"
"HK65 RHY","Skoda","Octavia","21/00043/PHVMAX","06/02/2020","05/02/2021"
"HK65 RHZ","Skoda","Octavia","21/00764/PHVMAX","23/09/2020","22/09/2021"
"HK66 LXP","Skoda","Octavia","21/00591/PHV","03/03/2020","02/03/2021"
"HK66 RVA","Skoda","Octavia","20/02395/HCV","13/08/2020","12/08/2021"
"HK67 EWJ","Skoda","Rapid","21/00982/PHV","14/07/2020","13/07/2021"
"HK67 EWN","Skoda","Rapid","21/00905/PHV","13/08/2020","12/08/2021"
"HK67 EWU","Skoda","Rapid","21/00940/PHV","27/10/2020","26/10/2021"
"HK67 GUU","Skoda","Octavia","21/00153/PHV","08/12/2020","07/12/2021"
"HK67 ZPE","Skoda","Octavia","21/00365/PHV","01/07/2020","30/06/2021"
"HK68 DWX","Skoda","Octavia","21/00968/PHV","13/01/2021","12/01/2022"
"HK68 DWY","Skoda","Octavia","21/00926/PHV","18/01/2021","18/01/2022"
"HK68 DXH","Skoda","Octavia","21/00956/PHV","19/01/2021","18/01/2022"
"HK68 DXL","Skoda","Octavia","21/01062/PHV","19/01/2021","18/01/2022"
"HK68 DXM","Skoda","Octavia","21/00907/PHV","15/01/2021","14/01/2022"
"HL19 FYP","Skoda","Octavia","21/00292/PHV","23/10/2020","22/10/2021"
"HN12 HKL","Skoda","Octavia","21/00596/PHVMAX","20/01/2021","20/07/2021"
"HN14 EWG","Skoda","Octavia","21/00180/PHVMAX","14/08/2020","25/02/2021"
"HN15 SNU","Skoda","Rapid","21/00750/PHVMAX","14/09/2020","13/09/2021"
"HN16 OGT","Skoda","Octavia","21/00719/PHV","01/07/2020","30/06/2021"
"HN16 OGU","Skoda","Octavia","21/01162/PHV","10/07/2020","09/07/2021"
"HN17 BBX","Skoda","Octavia","21/00106/PHV","04/02/2020","03/02/2021"
"HN62 DHC","Skoda","Octavia","21/00386/PHVMAX","24/09/2020","25/03/2021"
"HN63 YYD","Skoda","Rapid","21/00990/PHVMAX","10/09/2020","09/03/2021"
"HN63 YYE","Skoda","Rapid","21/00993/PHVMAX","13/01/2021","12/01/2022"
"HN65 LGO","Skoda","Octavia","21/00975/PHVMAX","13/07/2020","12/07/2021"
"HN65 LGU","Skoda","Octavia","21/01004/PHVMAX","02/10/2020","01/10/2021"
"HN65 LGV","Skoda","Octavia","21/00976/PHVMAX","09/07/2020","08/07/2021"
"HN65 LJE","Skoda","Octavia","21/00729/PHVMAX","13/10/2020","12/10/2021"
"HN65 LJJ","Skoda","Octavia","21/00863/PHVMAX","11/01/2021","10/01/2022"
"HN65 LKY","Skoda","Octavia","21/00307/PHVMAX","06/03/2020","05/03/2021"
"HN66 JKY","Skoda","Octavia","21/00943/PHV","04/12/2020","03/12/2021"
"HN66 SUF","Skoda","Rapid","21/00922/PHV","11/12/2020","10/12/2021"
"HN66 SUH","Skoda","Rapid","21/00939/PHV","13/07/2020","12/07/2021"
"HN66 ZNY","Skoda","Rapid","21/00991/PHV","09/07/2020","08/07/2021"
"HN67 AVJ","Skoda","Octavia","21/00036/PHV","14/10/2020","13/10/2021"
"HN67 NLF","Skoda","Rapid","21/00998/PHV","03/08/2020","02/08/2021"
"HN67 NLL","Skoda","Rapid","21/00919/PHV","11/08/2020","10/08/2021"
"HN67 NLU","Skoda","Rapid","21/00978/PHV","14/07/2020","13/07/2021"
"HN67 NMV","Skoda","Rapid","21/00985/PHV","16/07/2020","15/07/2021"
"HN67 NNM","Skoda","Rapid","21/01008/PHV","17/08/2020","16/08/2021"
"HN67 NNR","Skoda","Rapid","21/00937/PHV","05/08/2020","04/08/2021"
"HN67 NNY","Skoda","Rapid","21/00888/PHV","25/08/2021","24/08/2021"
"HS16 FWD","Skoda","Octavia","21/00612/PHV","26/10/2020","25/10/2021"
"HS16 HTP","Skoda","Rapid","21/00426/PHV","25/02/2020","24/02/2021"
"HS19 XXT","Skoda","Octavia","21/00849/PHV","16/09/2020","15/09/2021"
"HT16 LFZ","Skoda","Octavia","20/02223/HCV","02/11/2020","01/11/2021"
"HT65 MPX","Skoda","Octavia","21/00728/PHV","17/02/2020","16/02/2021"
"HT65 MPZ","Skoda","Octavia","21/00854/PHV","21/02/2020","20/02/2021"
"HT65 MRO","Skoda","Octavia","21/00839/PHV","14/02/2020","13/02/2021"
"HT65 MRU","Skoda","Octavia","21/00736/PHV","28/01/2021","27/01/2022"
"HT65 MRV","Skoda","Octavia","21/00723/PHVMAX","26/02/2020","25/02/2021"
"HT65 MSO","Skoda","Octavia","21/00850/PHV","10/02/2020","09/02/2021"
"HV13 OVL","Skoda","Octavia","21/01119/PHVMAX","14/10/2020","13/10/2021"
"HV15 VRM","Skoda","Octavia","21/00734/PHVMAX","01/07/2020","30/06/2021"
"HV15 VRN","Skoda","Octavia","21/00842/PHVMAX","16/07/2020","15/07/2021"
"HV16 DFZ","Skoda","Octavia","21/00864/PHV","25/08/2020","24/08/2021"
"HV17 FET","Skoda","Rapid","21/00901/PHV","30/10/2020","29/10/2021"
"HV17 FFC","Skoda","Rapid","21/00920/PHV","10/07/2019","09/07/2020"
"HV17 FFH","Skoda","Rapid","21/00928/PHV","14/10/2020","13/10/2021"
"HV17 FFN","Skoda","Rapid","21/00954/PHV","01/07/2020","30/06/2021"
"HV17 FFP","Skoda","Rapid","21/00930/PHV","10/07/2020","09/07/2021"
"HV17 FFU","Skoda","Rapid","21/00946/PHV","13/10/2020","12/10/2021"
"HV17 FFW","Skoda","Rapid","21/01173/PHV","21/09/2020","20/09/2021"
"HV17 FFY","Skoda","Rapid","21/01011/PHV","24/07/2020","23/07/2021"
"HV17 FFZ","Skoda","Rapid","21/00910/PHV","20/10/2020","19/10/2021"
"HV17 FGA","Skoda","Rapid","21/01000/PHV","21/07/2020","20/07/2021"
"HV17 FGN","Skoda","Rapid","21/01005/PHV","01/07/2020","30/06/2021"
"HV17 FGZ","Skoda","Rapid","21/00938/PHV","21/01/2020","20/01/2021"
"HV17 FHH","Skoda","Rapid","21/00892/PHV","27/01/2021","26/01/2022"
"HV66 NJK","Skoda","Rapid","21/00911/PHV","15/01/2021","14/01/2022"
"HV66 OWM","Skoda","Octavia","20/02962/HCV","07/01/2021","06/01/2022"
"HV67 TXX","Skoda","Rapid","21/00949/PHV","29/10/2020","28/10/2021"
"HV67 TXY","Skoda","Rapid","21/00983/PHV","19/08/2020","18/08/2021"
"HV67 TYH","Skoda","Rapid","21/00977/PHV","27/07/2020","26/07/2021"
"HV67 TYP","Skoda","Rapid","21/01007/PHV","21/08/2020","20/08/2021"
"HV69 ZBC","Skoda","Octavia","21/00427/PHV","14/10/2020","13/10/2021"
"HX14 VCF","Skoda","Rapid","21/01154/PHVMAX","06/11/2020","05/11/2021"
"HX14 VCT","Skoda","Rapid","21/01255/PHVMAX","10/02/2021","09/02/2022"
"HX15 WLN","Skoda","Octavia","21/00856/PHVMAX","29/09/2020","28/09/2021"
"HX15 WMF","Skoda","Superb","21/00973/PHVMAX","21/10/2020","20/10/2021"
"HX15 WMT","Skoda","Octavia","21/00852/PHVMAX","13/07/2020","12/07/2021"
"HX16 YZS","Skoda","Octavia","21/00735/PHV","05/10/2020","04/10/2021"
"HX16 YZT","Skoda","Octavia","21/00726/PHV","02/12/2020","01/12/2021"
"HX17 WGM","Skoda","Octavia","21/00407/PHV","17/07/2020","16/07/2021"
"HX17 WGO","Skoda","Octavia","21/00633/PHV","20/10/2020","19/10/2021"
"HX18 RKO","Skoda","Octavia","21/00542/PHV","07/08/2020","06/08/2021"
"HX18 RLO","Skoda","Octavia","21/00521/PHV","15/06/2020","14/06/2021"
"HX18 RLZ","Skoda","Octavia","21/00530/PHV","18/09/2020","17/09/2021"
"HX18 RMU","Skoda","Octavia","21/00274/PHV","15/10/2020","14/10/2021"
"HX18 YMO","Skoda","Octavia","21/00632/PHV","09/10/2020","08/10/2021"
"HX18 YMP","Skoda","Octavia","21/00645/PHV","11/03/2020","10/03/2021"
"HX18 YMS","Skoda","Octavia","21/00493/PHV","27/03/2020","26/03/2021"
"HX18 YMT","Skoda","Octavia","21/00643/PHV","19/03/2020","18/03/2021"
"HX64 UHC","Skoda","Rapid","21/00059/PHVMAX","08/10/2020","07/10/2021"
"HY11 XNP","Skoda","Octavia","21/00482/PHVMAX","05/11/2020","04/11/2021"
"HY14 XAC","Skoda","Rapid","21/01246/PHVMAX","18/02/2021","08/07/2021"
"HY16 XCN","Skoda","Octavia","21/00334/PHV","26/02/2020","25/02/2021"
"HY17 MBU","Skoda","Octavia","21/00615/PHV","19/10/2020","18/10/2021"
"HY19 NWS","Skoda","Octavia","21/00052/PHV","11/03/2020","10/03/2021"
"HY19 NWT","Skoda","Octavia","21/00048/PHV","07/10/2020","06/10/2021"
"HY19 NWX","Skoda","Octavia","21/00295/PHV","07/01/2021","06/01/2022"
"HY64 WVO","Skoda","Superb","21/01096/PHVMAX","14/10/2020","13/10/2021"
"HY66 DNX","Skoda","Superb","20/02124/HCV","11/09/2020","10/09/2021"
"HY66 JNL","Skoda","Rapid","21/00951/PHV","08/07/2020","07/07/2021"
"HY67 HKG","Skoda","Rapid","21/00941/PHV","17/08/2020","16/08/2021"
"HY67 OTC","Skoda","Superb","21/00333/PHV","18/01/2021","17/01/2022"
"HY68 WNF","Skoda","Octavia","21/00891/PHV","20/11/2020","19/11/2021"
"HY68 WOX","Skoda","Octavia","21/01009/PHV","03/11/2020","02/11/2021"
"HY68 WPM","Skoda","Octavia","21/01047/PHV","26/11/2020","25/11/2021"
"HY68 WPO","Skoda","Octavia","21/01253/PHV","08/02/2021","07/02/2022"
"HY68 WRA","Skoda","Octavia","21/00900/PHV","25/11/2020","24/11/2021"
"HY68 WRC","Skoda","Octavia","21/01001/PHV","30/10/2020","29/10/2021"
"HY68 WRF","Skoda","Octavia","21/00948/PHV","04/12/2020","03/12/2021"
"HY68 WRK","Skoda","Octavia","21/01061/PHV","27/11/2020","26/11/2021"
"HY68 WRL","Skoda","Octavia","21/00952/PHV","15/12/2020","14/12/2021"
"HY68 WRO","Skoda","Octavia","21/01002/PHV","01/12/2020","30/11/2021"
"HY68 WRP","Skoda","Octavia","21/00942/PHV","07/12/2020","06/12/2021"
"HY68 WRR","Skoda","Octavia","21/01259/PHV","02/12/2020","01/12/2021"
"HY68 WRT","Skoda","Octavia","21/00944/PHV","13/11/2020","12/11/2021"
"HY68 WRU","Skoda","Octavia","21/01181/PHV","04/12/2020","03/12/2021"
"HY69 OBU","Skoda","Octavia","20/02135/HCV","14/09/2020","13/09/2021"
"HY69 OFN","Skoda","Octavia","21/00315/PHV","05/11/2020","04/11/2021"
"HY69 OGB","Skoda","Octavia","21/00422/PHV","05/10/2020","04/10/2021"
"HY70 NHF","Skoda","Superb","21/01165/PHV","11/02/2021","10/02/2022"
"KJ17 UDL","Skoda","Superb","21/00438/PHV","13/07/2020","12/07/2021"
"KN67 CGX","Skoda","Octavia","21/00097/PHV","11/03/2020","10/03/2021"
"KP62 UVS","Skoda","Superb","20/02326/HCVMAX","24/11/2020","23/11/2021"
"KP68 KYN","Skoda","Octavia","21/00805/PHV","17/08/2020","16/08/2021"
"KW69 UXU","Skoda","Superb","21/00303/PHV","07/10/2020","06/10/2021"
"KX65 YNF","Skoda","Octavia","21/01180/PHV","28/09/2020","27/09/2021"
"LD14 MYP","Skoda","Octavia","21/00344/PHVMAX","23/10/2020","22/10/2021"
"LJ66 URM","Skoda","Octavia","21/00086/PHV","02/02/2021","01/02/2022"
"LM65 XTZ","Skoda","Octavia","20/02332/HCV","20/11/2020","19/11/2021"
"LO70 GXE","Skoda","Octavia","21/01164/HCV","15/02/2021","14/02/2022"
"LX17 YHC","Skoda","Rapid","21/00077/PHV","25/09/2020","24/09/2021"
"MA15 FWC","Skoda","Octavia","20/02460/HCVMAX","28/10/2020","27/10/2021"
"MA17 EGX","Skoda","Octavia","21/01064/PHV","02/10/2020","01/10/2021"
"MD16 GXJ","Skoda","Superb","20/02468/HCV","16/12/2020","15/12/2021"
"MJ12 CPN","Skoda","Octavia","21/00913/PHVMAX","06/08/2020","05/02/2021"
"MK62 OUJ","Skoda","Octavia","21/01003/PHVMAX","15/01/2021","14/01/2022"
"MX67 ZLZ","Skoda","Octavia","21/00285/PHV","30/11/2020","29/11/2021"
"NA69 SSK","Skoda","Superb","21/01185/PHVTMP","19/10/2020","18/10/2021"
"ND17 UWY","Skoda","Octavia","21/00966/PHV","29/09/2020","28/09/2021"
"NL67 CDE","Skoda","Octavia","20/02298/HCV","27/01/2021","26/01/2022"
"NU20 UGL","Skoda","Octavia","21/00202/PHV","15/07/2020","14/07/2021"
"NU68 HZM","Skoda","Octavia","21/00066/PHV","09/10/2020","08/10/2021"
"NU68 XMH","Skoda","Octavia","21/00067/PHV","29/10/2020","28/10/2021"
"NU68 XMJ","Skoda","Octavia","21/00061/PHV","02/11/2020","01/11/2021"
"NU69 UOS","Skoda","Octavia","21/00029/PHV","04/11/2020","03/11/2021"
"NU69 ZCA","Skoda","Superb","21/00205/PHV","15/07/2020","14/07/2021"
"NV15 LFU","Skoda","Octavia","20/02965/HCV","16/11/2020","15/11/2021"
"NV16 EUT","Skoda","Rapid","21/00117/PHV","26/01/2021","25/01/2022"
"NV19 KNC","Skoda","Octavia","21/00211/PHV","20/07/2020","19/07/2021"
"NV20 DBY","Skoda","Octavia","21/00189/PHV","01/09/2020","31/08/2021"
"NV20 DCU","Skoda","Octavia","21/00195/PHV","18/08/2020","17/08/2021"
"NV20 GZW","Skoda","Octavia","21/00185/PHV","13/10/2020","12/10/2021"
"NV66 BTE","Skoda","Octavia","21/00807/PHV","05/10/2020","04/10/2021"
"NV68 CTZ","Skoda","Octavia","21/00382/PHV","20/11/2020","19/11/2021"
"NV68 EKG","Skoda","Octavia","21/00199/PHV","20/11/2020","19/11/2021"
"NX16 WWT","Skoda","Octavia","21/00687/PHV","21/09/2020","20/09/2021"
"NX18 VSA","Skoda","Octavia","21/00647/PHV","01/02/2021","31/01/2022"
"NX19 VSY","Skoda","Octavia","21/00216/PHV","30/07/2020","29/07/2021"
"NX20 VPJ","Skoda","Octavia","21/00210/PHV","03/06/2020","02/06/2021"
"NX66 ODB","Skoda","Superb","20/02105/HCV","19/08/2020","18/08/2021"
"NX69 ZKR","Skoda","Octavia","21/00215/PHV","18/09/2020","17/09/2021"
"NY19 AVX","Skoda","Octavia","20/02200/HCV","26/10/2020","25/10/2021"
