"VRM","Make","Model","Licence No","Compliance Date","Compliance Expiry"
"OE12 LYC","Skoda","Octavia","20/02163/HCVMAX","25/01/2021","22/07/2021"
"OE67 XLZ","Skoda","Octavia","21/00099/PHV","15/10/2020","14/10/2021"
"OV62 MHL","Skoda","Octavia","20/02158/HCVMAX","21/12/2020","20/12/2021"
"OW16 FYA","Skoda","Superb","21/01095/PHV","08/09/2020","07/09/2021"
"OW16 HCE","Skoda","Rapid","21/00041/PHV","04/09/2020","03/09/2021"
"OY12 LTX","Skoda","Superb","21/01251/PHVMAX","19/11/2020","18/11/2021"
"OY66 VVR","Skoda","Rapid","20/02256/HCV","14/07/2020","13/07/2021"
"PN17 HFW","Skoda","Superb","21/00579/PHV","12/10/2020","11/10/2021"
"RE65 BAZ","Skoda","Octavia","20/02502/HCV","14/07/2020","13/07/2021"
"RJ11 UTR","Skoda","Octavia","21/00767/PHVMAX","26/11/2020","25/11/2021"
"RK65 UPS","Skoda","Superb","21/00517/PHVMAX","27/10/2020","26/10/2021"
"RV12 EKG","Skoda","Octavia","21/01212/PHVMAX","05/02/2021","04/02/2022"
"SF16 GBT","Skoda","Rapid","21/00356/PHV","30/09/2020","29/09/2021"
"SG67 CCJ","Skoda","Octavia","21/00208/PHV","09/09/2020","08/09/2021"
"SK69 DZU","Skoda","Octavia","21/00536/PHV","30/11/2020","29/11/2021"
"V111 VVV","Skoda","Octavia","20/02109/HCV","02/10/2020","01/10/2021"
"WD16 HNX","Skoda","Octavia","20/02231/HCV","27/07/2020","26/07/2021"
"WF66 UEC","Skoda","Octavia","21/00081/PHV","10/08/2020","09/08/2021"
"WG12 ZBN","Skoda","Octavia","21/00893/PHVMAX","18/09/2020","17/09/2021"
"WJ15 XFV","Skoda","Octavia","21/00102/PHVMAX","16/09/2020","15/09/2021"
"WJ20 FYB","Skoda","Octavia","21/00811/PHV","03/02/2021","02/02/2022"
"WR61 HNX","Skoda","Octavia","21/00897/PHVMAX","18/08/2020","18/02/2021"
"WR66 MVO","Skoda","Octavia","21/00526/PHV","04/02/2021","03/02/2022"
"WR66 YHZ","Skoda","Octavia","21/01107/PHV","10/12/2020","09/12/2021"
"WU65 GHK","Skoda","Octavia","20/02371/HCV","03/08/2020","02/08/2021"
"Y4 TEF","Skoda","Superb","20/03071/HCVMAX","03/09/2020","04/03/2021"
"YD16 RCN","Skoda","Octavia","21/00528/PHV","28/10/2020","27/10/2021"
"YD66 MZW","Skoda","Octavia","21/00657/PHV","17/08/2020","16/08/2021"
"YF12 DVN","Skoda","Octavia","20/02286/HCVMAX","10/08/2020","09/02/2021"
"YH10 SWU","Skoda","Superb","20/02162/HCVMAX","12/10/2020","11/10/2021"
"YH66 GVX","Skoda","Octavia","20/02562/HCV","04/08/2020","03/08/2021"
"YK16 ZYC","Skoda","Octavia","21/00322/PHV","21/09/2020","20/09/2021"
"YT65 BPZ","Skoda","Octavia","20/02381/HCV","26/02/2020","25/02/2021"
"Y700 JAL","Tesla","S","21/00104/PHV","14/10/2020","13/10/2021"
"DE67 LUP","Toyota","Prius","21/01148/PHV","15/02/2021","14/02/2022"
"EF70 PKC","Toyota","Prius","21/01118/PHV","12/02/2021","11/02/2022"
"FA16 SJO","Toyota","Auris","21/00107/PHV","02/12/2020","01/12/2021"
"FE67 LPA","Toyota","Auris","21/00642/PHV","21/08/2020","20/08/2021"
"FG18 BZO","Toyota","Auris","21/01155/PHV","09/02/2021","08/02/2022"
"FG64 XZF","Toyota","Auris","21/00178/PHVMAX","16/07/2020","15/07/2021"
"FH17 FML","Toyota","Avensis","21/01211/PHV","05/11/2020","04/11/2021"
"FM65 HBG","Toyota","Auris","21/00020/PHVMAX","24/09/2020","23/09/2021"
"FN16 OLX","Toyota","Avensis","20/02310/HCV","16/03/2020","15/03/2021"
"FP18 DVU","Toyota","Avensis","20/02279/HCV","18/11/2020","17/11/2021"
"FV17 DFP","Toyota","Prius","20/02192/HCV","07/09/2020","06/09/2021"
"GY65 YZV","Toyota","Prius","21/00148/PHVMAX","02/02/2021","01/02/2022"
"GY66 DYC","Toyota","Auris","21/00959/PHV","13/03/2020","12/03/2021"
"HD17 FZM","Toyota","Avensis","20/02578/HCV","12/01/2021","11/01/2022"
"HF20 XGG","Toyota","Prius","21/00489/PHV","04/03/2020","03/03/2021"
"HF66 LOA","Toyota","Avensis","20/02276/HCV","07/07/2020","06/07/2021"
"HG19 WMJ","Toyota","Corolla","21/00543/PHV","21/09/2020","20/09/2021"
"HK15 EVD","Toyota","Auris","21/00710/PHVMAX","28/01/2021","27/01/2022"
"HK69 KKD","Toyota","Prius","21/00248/PHV","05/02/2020","04/02/2021"
"HN68 FXR","Toyota","Auris","21/00775/PHV","29/07/2020","28/07/2021"
"HT19 LNW","Toyota","Prius","21/00134/PHV","26/10/2020","25/10/2021"
"HX16 NWA","Toyota","Auris","21/00961/PHV","03/08/2020","02/08/2021"
"HX18 LMO","Toyota","Auris","21/00703/PHV","07/10/2020","06/10/2021"
"HX18 UOU","Toyota","Prius","21/00133/PHV","19/03/2020","18/03/2021"
"HX66 XKH","Toyota","Auris","21/00032/PHV","17/12/2020","16/12/2021"
"HY63 WUU","Toyota","Auris","21/00421/PHVMAX","07/01/2021","02/07/2021"
"HY65 HRX","Toyota","Prius","21/00855/PHVMAX","10/12/2020","09/12/2021"
"HY65 HRZ","Toyota","Prius","21/00716/PHVMAX","19/11/2020","18/11/2021"
"HY65 HSD","Toyota","Prius","21/00715/PHVMAX","12/11/2020","11/11/2021"
"HY65 HSE","Toyota","Prius","21/00718/PHVMAX","16/07/2020","15/07/2021"
"HY65 HSG","Toyota","Prius","21/00871/PHVMAX","02/02/2021","01/02/2022"
"HY69 MZO","Toyota","Corolla","21/00145/PHV","22/10/2020","21/10/2021"
"HY70 KXN","Toyota","Corolla","21/00389/PHV","15/10/2020","14/10/2021"
"LL17 LUJ","Toyota","Prius","21/00126/PHV","17/09/2020","16/09/2021"
"LL17 LUO","Toyota","Prius","21/01030/PHV","10/08/2020","09/08/2021"
"LN18 KUE","Toyota","Prius","21/00057/PHV","20/10/2020","19/10/2021"
"MC19 CVM","Toyota","Corolla","21/00846/PHV","20/08/2020","19/08/2021"
"MC65 FNX","Toyota","Avensis","21/00021/PHVMAX","06/01/2021","05/01/2022"
"MD14 SWX","Toyota","Auris","20/02285/HCVMAX","13/02/2020","14/08/2020"
"ME19 KKG","Toyota","Corolla","21/00848/PHV","20/08/2020","19/08/2021"
"ME19 TYY","Toyota","Corolla","21/00866/PHV","15/09/2020","14/09/2021"
"ME19 VRK","Toyota","Corolla","21/00714/PHV","22/09/2020","21/09/2021"
"MF62 OEK","Toyota","Avensis","20/02689/HCVMAX","02/11/2020","01/11/2021"
"MF66 PFG","Toyota","Auris","20/02338/HCV","07/10/2020","06/10/2021"
"MF69 DJX","Toyota","Corolla","21/00874/PHV","21/10/2020","20/10/2021"
"MF69 DKY","Toyota","Corolla","21/00861/PHV","12/03/2020","11/03/2021"
"MF69 DVX","Toyota","Corolla","21/00847/PHV","20/02/2020","19/02/2021"
"MF69 RGV","Toyota","Corolla","21/00724/PHV","29/09/2020","28/09/2021"
"MF70 UAY","Toyota","Corolla","21/00031/PHV","08/01/2021","07/01/2022"
"MJ14 FPT","Toyota","Avensis","20/02324/HCVMAX","07/01/2021","08/07/2021"
"MJ18 YSV","Toyota","Avensis","21/00981/PHV","29/10/2020","28/10/2021"
"MJ19 HXM","Toyota","Corolla","21/00865/PHV","15/09/2020","14/09/2021"
"MJ62 LSY","Toyota","Avensis","20/02277/HCVMAX","19/11/2020","18/11/2021"
"MJ68 CWZ","Toyota","Prius","21/01177/PHV","11/02/2021","10/02/2022"
"MJ69 VLO","Toyota","Corolla","21/00276/PHV","17/12/2020","16/12/2021"
"ML18 PHK","Toyota","Avensis","21/00840/PHV","17/07/2020","16/07/2021"
"MM14 GUW","Toyota","Auris","21/00471/PHVMAX","19/10/2020","18/10/2021"
"MM14 GZW","Toyota","Auris","21/00078/PHVMAX","13/10/2020","12/10/2021"
"MT17 ECW","Toyota","Prius","21/00084/PHV","05/08/2020","04/08/2021"
"MT68 WSE","Toyota","Prius","20/02337/HCV","25/11/2020","24/11/2021"
"MV12 JDU","Toyota","Avensis","20/02128/HCVMAX","09/09/2020","05/03/2021"
"MX16 VKD","Toyota","Avensis","20/02645/HCV","24/07/2020","23/07/2021"
"MX17 VKH","Toyota","Prius","21/00013/PHV","20/07/2020","19/07/2021"
"MX18 PXL","Toyota","Avensis","21/00859/PHV","26/08/2020","25/08/2021"
"MX19 NNP","Toyota","Prius","21/01217/PHVTMP","19/03/2020","18/02/2021"
"MX65 WZK","Toyota","Prius","21/00868/PHVMAX","18/09/2020","17/09/2021"
"RO67 ELH","Toyota","Prius","21/00184/PHV","18/02/2020","17/02/2021"
"RX65 XPF","Toyota","Verso","21/00251/PHVMAX","08/01/2021","07/01/2022"
"SG69 HNX","Toyota","Corolla","21/01032/PHV","06/08/2020","05/08/2021"
"SJ66 ANV","Toyota","Pruis","21/00111/PHV","01/02/2021","31/01/2022"
"VE66 XRW","Toyota","Auris","21/00093/PHV","10/11/2020","09/11/2021"
"WP67 YHT","Toyota","Prius","21/01171/PHV","19/02/2021","18/02/2022"
"AK65 TMX","Vauxhall","Zafira","21/00586/PHVMAX","07/12/2020","06/12/2021"
"BF14 OUY","Vauxhall","Zafira","21/00100/PHVMAX","30/09/2020","29/09/2021"
"BV68 CYA","Vauxhall","Zafira","21/00509/PHV","01/09/2020","31/08/2021"
"CF63 LRN","Vauxhall","Zafira","21/00568/PHVMAX","21/10/2020","20/10/2021"
"CU15 XYT","Vauxhall","Insignia","21/00387/PHVMAX","04/12/2020","03/12/2021"
"DG63 BZR","Vauxhall","Vivaro","21/01046/PHVMAX","17/09/2020","16/03/2021"
"DG64 OTW","Vauxhall","Zafira","21/00539/PHVMAX","02/10/2020","01/10/2021"
"DK17 KGV","Vauxhall","Insignia","21/01146/PHV","03/08/2020","02/08/2021"
"DL17 WZH","Vauxhall","Vivaro","21/00932/PHV","11/12/2020","10/12/2021"
"DL17 XED","Vauxhall","Vivaro","21/00933/PHV","30/09/2020","29/09/2021"
"DL17 XEM","Vauxhall","Vivaro","21/00921/PHV","20/10/2020","19/10/2021"
"DL17 XEN","Vauxhall","Vivaro","21/00988/PHV","10/09/2020","09/09/2021"
"DL66 OWZ","Vauxhall","Zafira","20/02164/HCV","20/01/2021","19/01/2022"
"DP16 KVG","Vauxhall","Vivaro","21/00169/PHV","26/08/2020","25/08/2021"
"DS11 FZD","Vauxhall","Insignia","20/02305/HCVMAX","05/10/2020","04/10/2021"
"DS17 UDX","Vauxhall","Vivaro","21/01065/PHV","23/07/2020","22/07/2021"
"DS17 UDZ","Vauxhall","Vivaro","21/00909/PHV","31/07/2020","30/07/2021"
"DS17 UGH","Vauxhall","Vivaro","21/01279/PHV","10/02/2021","09/02/2022"
"DS64 XEM","Vauxhall","Insignia","21/00781/PHVMAX","31/07/2020","30/07/2021"
"DT17 AEY","Vauxhall","Vivaro","21/01073/PHV","17/09/2020","16/09/2021"
"DT17 AGV","Vauxhall","Vivaro","21/01242/PHV","11/09/2020","10/09/2021"
"DT17 AHZ","Vauxhall","Vivaro","21/01006/PHV","09/10/2020","08/10/2021"
"DT17 AKF","Vauxhall","Vivaro","21/00994/PHV","23/09/2020","22/09/2021"
"DT17 AVF","Vauxhall","Vivaro","21/00979/PHV","15/09/2020","14/09/2021"
"DT17 BHK","Vauxhall","Vivaro","21/01207/PHV","09/09/2020","08/09/2021"
"DT17 JWU","Vauxhall","Vivaro","21/00995/PHV","05/08/2020","04/08/2021"
"DT17 KLK","Vauxhall","Vivaro","21/00906/PHV","09/09/2020","08/09/2021"
"DY16 FZR","Vauxhall","Insignia","21/00282/PHV","12/02/2020","11/02/2021"
"DY65 BFZ","Vauxhall","Insignia","21/01115/PHVMAX","17/07/2020","16/07/2021"
"DY66 HGU","Vauxhall","Vivaro","21/00584/PHV","27/08/2020","26/08/2021"
"DY66 TCV","Vauxhall","Vivaro","21/00895/PHV","14/01/2021","13/01/2022"
"FE19 YAY","Vauxhall","Insignia","21/00494/PHV","01/02/2021","31/01/2022"
"FE65 OEB","Vauxhall","Zafira","21/00162/PHVMAX","06/10/2020","05/10/2021"
"FP66 DLV","Vauxhall","Insignia","21/00244/PHV","02/07/2020","01/07/2021"
"HG16 HCD","Vauxhall","Astra","21/00650/PHV","04/02/2021","03/02/2022"
"HJ63 FPK","Vauxhall","Zafira","20/02126/HCVMAX","13/10/2020","12/10/2021"
"HK16 XPY","Vauxhall","Insignia","21/00076/PHV","21/02/2020","20/02/2021"
"HT14 CUV","Vauxhall","Zafira","21/00693/PHVMAX","12/08/2020","11/08/2021"
"HY62 UBJ","Vauxhall","Zafira","21/00967/PHVMAX","17/11/2020","16/11/2021"
"LK16 MZW","Vauxhall","Insignia","21/00011/PHV","07/07/2020","06/07/2021"
"LK18 YDZ","Vauxhall","Vivaro","21/00403/PHV","06/10/2020","05/10/2021"
"LK66 RHA","Vauxhall","Vivaro","21/00164/PHV","28/08/2020","27/08/2021"
"LK67 UGD","Vauxhall","Vivaro","21/00165/PHV","21/01/2021","20/01/2022"
"LL13 GOC","Vauxhall","Vivaro","21/00738/PHVMAX","14/10/2020","13/10/2021"
"LR66 NHX","Vauxhall","Vivaro","21/00163/PHV","20/01/2021","19/01/2022"
"LT19 OOU","Vauxhall","Vivaro","21/00963/PHV","24/03/2020","23/03/2021"
"M444 DEB","Vauxhall","Insignia","21/00664/PHVMAX","18/02/2021","17/02/2022"
"MF14 ZTM","Vauxhall","Zafira","21/00896/PHVMAX","27/10/2020","26/10/2021"
"MP57 UMP","Vauxhall","Vivaro","21/00448/PHV","30/07/2020","29/07/2021"
"RF12 KVR","Vauxhall","Insignia","20/02377/HCVMAX","25/08/2020","24/02/2021"
"VO17 VVT","Vauxhall","Insignia","20/02400/HCV","21/12/2020","20/12/2021"
"VU12 MZZ","Vauxhall","Insignia","20/02235/HCVMAX","10/08/2020","10/02/2021"
"VX17 UKM","Vauxhall","Vivaro","21/00673/PHV","21/10/2020","20/10/2021"
"VX67 JZL","Vauxhall","Astra","21/00484/PHV","30/10/2020","29/10/2021"
"WU17 TXE","Vauxhall","Zafira","21/00512/PHV","14/01/2021","13/01/2022"
"Y17 ERN","Vauxhall","Insignia","20/02320/HCVMAX","01/09/2020","01/03/2021"
"YG67 DWM","Vauxhall","Zafira","20/02677/HCV","17/09/2020","16/09/2021"
"YN16 YYR","Vauxhall","Insignia","20/02357/HCV","06/01/2021","05/01/2022"
"AJ18 SYU","Volkswagen","Arteon","21/00311/PHV","14/09/2020","13/09/2021"
"BN09 ULG","Volkswagen","Transporter","20/02269/HCVMAX","06/08/2020","05/08/2021"
"BN67 WYG","Volkswagen","Passat","21/01156/PHV","10/02/2021","09/02/2022"
"DF66 XLL","Volkswagen","Golf","21/00326/PHV","23/10/2020","22/10/2021"
"FE67 YFV","Volkswagen","Sharan","21/01110/PHV","23/11/2020","22/11/2021"
"FN60 XOE","Volkswagen","Touran","20/02315/HCVMAX","09/09/2020","08/03/2021"
"FT13 JFN","Volkswagen","Touran","21/00073/PHVMAX","04/01/2021","04/08/2021"
"FV65 VEB","Volkswagen","Passat","21/00561/PHV","24/02/2020","23/02/2021"
"GD17 AOH","Volkswagen","Passat","21/00453/PHV","13/03/2020","12/03/2021"
"GD18 NWO","Volkswagen","Transporter","21/00749/PHV","23/07/2020","22/07/2021"
"GD19 ZFP","Volkswagen","Touran","21/00514/PHV","13/03/2020","12/03/2021"
"GJ14 SZD","Volkswagen","Passat","21/00064/PHVMAX","04/03/2020","03/03/2021"
"GJ15 FUW","Volkswagen","Passat","21/00291/PHVMAX","21/09/2020","20/09/2021"
"GJ17 YRT","Volkswagen","Caddy","20/02334/HCV","15/07/2020","14/07/2021"
"GL15 KAJ","Volkswagen","Jetta","21/01113/PHVMAX","06/11/2020","05/11/2021"
"GL15 OZT","Volkswagen","Jetta","21/00631/PHVMAX","13/01/2021","12/01/2022"
"GL66 KHF","Volkswagen","Passat","20/02193/HCV","01/10/2020","30/09/2021"
"GM14 JWK","Volkswagen","Passat","20/02658/HCVMAX","07/09/2020","06/09/2021"
"GU16 TZW","Volkswagen","Passat","21/00112/PHV","20/01/2021","19/01/2022"
"GY12 ZNF","Volkswagen","Passat","21/00826/PHVMAX","23/07/2020","12/02/2021"
"HG12 XAX","Volkswagen","Caddy Maxi","21/00314/PHVMAX","16/09/2020","15/09/2021"
"HG17 GZH","Volkswagen","Passat","21/00129/PHV","07/01/2021","06/01/2022"
"HJ62 ZBC","Volkswagen","Passat","20/02905/HCVMAX","06/11/2020","05/11/2021"
"JRZ 5110","Volkswagen","Caddy","20/02511/HCV","08/09/2020","07/09/2021"
"KP68 KPL","Volkswagen","Arteon","21/00508/PHV","08/09/2020","07/09/2021"
"LG64 PXD","Volkswagen","Golf","21/00323/PHVMAX","06/11/2020","05/11/2021"
"NK15 YHS","Volkswagen","Caddy","21/00446/PHVMAX","29/10/2020","28/10/2021"
"NK16 DGY","Volkswagen","Caddy","20/02116/HCV","30/10/2020","29/10/2021"
"P11 SUF","Volkswagen","Jetta","20/02263/HCVMAX","24/09/2020","23/09/2021"
"RJ13 LVN","Volkswagen","Passat","21/00722/PHVMAX","27/01/2021","27/07/2021"
"RK17 HHM","Volkswagen","Passat","21/00105/PHV","21/09/2020","20/09/2021"
"RX16 ZPP","Volkswagen","Caddy","21/00678/PHV","09/07/2020","10/07/2021"
"S444 JLA","Volkswagen","Passat","21/00266/PHVMAX","26/11/2020","25/11/2021"
"SB13 VVG","Volkswagen","Passat","20/02419/HCVMAX","19/08/2020","19/02/2021"
"SD69 EYB","Volkswagen","Sharan","21/01131/PHV","20/11/2020","19/11/2021"
"SE17 MKZ","Volkswagen","Sharan","21/00531/PHV","01/07/2020","30/06/2021"
"SX66 FCD","Volkswagen","Golf","20/02580/HCV","14/07/2020","13/07/2021"
"T6 PXA","Volkswagen","Caravelle","21/01225/PHV","26/10/2020","25/10/2021"
"VA66 DPZ","Volkswagen","Passat","21/00060/PHV","27/03/2020","26/03/2021"
"VE15 HZN","Volkswagen","Touran","20/02169/HCVMAX","17/09/2020","16/09/2021"
"VE18 FRD","Volkswagen","Caddy","21/00789/PHV","25/08/2020","24/08/2021"
"VK63 NXG","Volkswagen","Jetta","20/02303/HCVMAX","28/08/2020","27/02/2021"
"VN11 GFU","Volkswagen","Passat","21/01083/PHVMAX","21/09/2021","19/03/2021"
"VU14 ZPT","Volkswagen","Golf","21/01101/PHVMAX","17/08/2020","18/02/2021"
"WD16 UGT","Volkswagen","Golf","20/02215/HCV","12/03/2020","11/03/2021"
"WG15 YDY","Volkswagen","Touran","20/02959/HCV","05/08/2020","04/08/2021"
"WG15 YDY","Volkswagen","Touran","20/02340/HCV","05/08/2020","04/08/2021"
"WM14 TKN","Volkswagen","Passat","21/00272/PHVMAX","10/11/2020","09/11/2021"
"WM16 YWE","Volkswagen","Jetta","21/00786/PHV","06/07/2020","05/07/2021"
"YC67 WMW","Volkswagen","Passat","20/02998/HCV","20/11/2020","19/11/2021"
"YH16 EJZ","Volkswagen","Jetta","21/00544/PHV","14/08/2020","13/08/2021"
"YR62 ORW","Volkswagen","Passat","21/00501/PHVMAX","10/08/2020","09/02/2021"
"YS16 XJV","Volkswagen","Jetta","21/00144/PHV","20/02/2020","19/02/2021"
"YY18 CZZ","Volkswagen","Caddy","21/00877/PHV","29/01/2021","28/01/2022"
"YY67 LYG","Volkswagen","Caddy","20/02234/HCV","05/11/2020","04/11/2021"
"YY70 AUN","Volkswagen","Caddy","20/02884/HCV","28/10/2020","27/10/2021"
"VA64 DMO","Volkwagen","Passat","20/02799/HCVMAX","12/10/2020","11/10/2021"
"YY64 UKX","Volvo","S60","21/01094/PHVMAX","03/09/2020","02/09/2021"